Designator,Value,Footprint,Mid X,Mid Y,Rotations,Layer
J2,Conn_02x05_Odd_Even,PinHeader_2x05_P1.27mm_Vertical_SMD,169.75,-22.6,0,bottom
L1,2.2uH,L_1210_3225Metric,193.65,-40.75,0,bottom
L2,15uH,L_Bourns-SRN6028,190.1,-23.35,0,bottom
Q1,AO3401A,SOT-23,189.05,-40.7,0,bottom
R1,1k,R_0402_1005Metric,120.1405,-46.279,90,bottom
R2,1k,R_0402_1005Metric,121.2835,-46.279,90,bottom
R3,1k,R_0402_1005Metric,124.7125,-46.279,90,bottom
R4,1k,R_0402_1005Metric,125.8555,-46.279,90,bottom
R5,100k,R_0402_1005Metric,120.1405,-42.8365,90,bottom
R6,100k,R_0402_1005Metric,121.2835,-42.8365,90,bottom
R7,100k,R_0402_1005Metric,124.7125,-42.8595,90,bottom
R8,100k,R_0402_1005Metric,125.8555,-42.8365,90,bottom
R9,1k,R_0402_1005Metric,122.4265,-46.279,90,bottom
R10,1k,R_0402_1005Metric,123.5695,-46.279,90,bottom
R11,1k,R_0402_1005Metric,126.9985,-46.279,90,bottom
R12,1k,R_0402_1005Metric,128.1415,-46.279,90,bottom
R13,100k,R_0402_1005Metric,122.4265,-42.8365,90,bottom
R14,100k,R_0402_1005Metric,123.5695,-42.8365,90,bottom
R15,100k,R_0402_1005Metric,126.9985,-42.8365,90,bottom
R16,100k,R_0402_1005Metric,128.1415,-42.8595,90,bottom
R17,15k,R_0402_1005Metric,127,-76.7,270,bottom
R18,15k,R_0402_1005Metric,132.1,-46.1,270,bottom
R19,1k,R_0402_1005Metric,160.5,-52.6,90,bottom
R20,15k,R_0402_1005Metric,185.4,-73.95,90,bottom
R21,15k,R_0402_1005Metric,171.7,-45.8,270,bottom
R22,1k,R_0402_1005Metric,174.9,-52.6,270,bottom
R23,R_US,R_0402_1005Metric,151.7,-18.9,270,bottom
R24,15k,R_0402_1005Metric,186.6,-73.95,90,bottom
R25,15k,R_0402_1005Metric,172.9,-45.8,270,bottom
R26,1k,R_0402_1005Metric,176.1,-52.6,270,bottom
R27,15k,R_0402_1005Metric,127,-74.3,90,bottom
R28,15k,R_0402_1005Metric,174.1,-45.8,270,bottom
R29,1k,R_0402_1005Metric,177.3,-52.6,270,bottom
R30,15k,R_0402_1005Metric,125.8,-76.7,270,bottom
R31,15k,R_0402_1005Metric,133.45,-48.65,270,bottom
R32,1k,R_0402_1005Metric,161.7,-52.6,90,bottom
R33,15k,R_0402_1005Metric,188.6,-49.95,0,bottom
R34,15k,R_0402_1005Metric,174.2,-38.8,270,bottom
R35,1k,R_0402_1005Metric,185.7,-52.6,270,bottom
R36,15k,R_0402_1005Metric,188.6,-47.55,0,bottom
R37,15k,R_0402_1005Metric,177.7,-45.8,270,bottom
R38,1k,R_0402_1005Metric,180.9,-52.6,270,bottom
R39,15k,R_0402_1005Metric,188.6,-48.75,0,bottom
R40,15k,R_0402_1005Metric,171.8,-38.8,270,bottom
R41,1k,R_0402_1005Metric,183.3,-52.6,270,bottom
R42,15k,R_0402_1005Metric,100.75,-48.7,0,bottom
R43,15k,R_0402_1005Metric,165.65,-45.8,270,bottom
R44,1k,R_0402_1005Metric,167.7,-52.6,90,bottom
R45,15k,R_0402_1005Metric,100.75,-51,0,bottom
R46,15k,R_0402_1005Metric,138.25,-48.7,270,bottom
R47,1k,R_0402_1005Metric,166.5,-52.6,90,bottom
R48,15k,R_0402_1005Metric,186.6,-76.35,270,bottom
R49,15k,R_0402_1005Metric,166.9,-45.8,270,bottom
R50,1k,R_0402_1005Metric,170.1,-52.6,270,bottom
R51,15k,R_0402_1005Metric,188.6,-51.15,0,bottom
